,Direccion,Costo,Baños,Recamaras,Area,Estacionamientos,Seguridad,Balcon,Terraza,Jardines,Alberca,Gimnasio
1522,"Lomas de Bezares, Miguel Hidalgo, Ciudad de México",70000.0,3.0,3.0,237.0,1,0,0,0,0,0,0
1523,"Lomas de Bezares, Miguel Hidalgo, Ciudad de México",33500.0,2.0,2.0,105.0,1,0,0,0,0,0,0
1524,"Polanco, Miguel Hidalgo, Ciudad de México",100000.0,2.0,2.0,150.0,2,0,0,0,0,0,0
1525,"Bosque de las Lomas, Miguel Hidalgo, Ciudad de México",140000.0,2.0,2.0,321.0,0,0,0,0,0,0,0
1526,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",22887.0,2.0,1.0,63.0,1,0,0,0,0,0,0
1527,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",75000.0,2.0,2.0,180.0,3,0,0,0,0,0,0
1528,"Contadero, Cuajimalpa de Morelos, Ciudad de México",24000.0,2.0,2.0,91.0,1,0,0,0,0,0,0
1529,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",26176.0,1.0,1.0,71.0,1,0,0,0,0,0,0
1530,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",31600.0,2.0,2.0,84.0,1,0,0,0,0,0,0
1531,"Xoco, Benito Juárez, Ciudad de México",35000.0,2.0,2.0,105.0,2,0,0,0,0,0,0
1532,"Lomas de Bezares, Miguel Hidalgo, Ciudad de México",45500.0,3.0,3.0,138.0,1,0,0,0,0,0,0
1533,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",30000.0,1.0,1.0,120.0,2,0,0,0,0,0,0
1534,"Juárez, Cuauhtémoc, Ciudad de México",17129.0,1.0,1.0,32.0,0,0,0,0,0,1,0
1535,"Narvarte, Benito Juárez, Ciudad de México",28500.0,2.0,2.0,85.0,1,0,0,0,0,0,0
1536,"Lomas de Bezares, Miguel Hidalgo, Ciudad de México",33500.0,2.0,2.0,105.0,1,0,0,0,0,0,0
1537,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",28827.0,2.0,2.0,84.0,1,0,0,0,0,0,0
1538,"Juárez, Cuauhtémoc, Ciudad de México",17129.0,1.0,1.0,32.0,0,0,0,0,0,1,0
1539,"Narvarte, Benito Juárez, Ciudad de México",28500.0,2.0,2.0,85.0,1,0,0,0,0,0,0
1540,"Lomas Quebradas, La Magdalena Contreras, Ciudad de México",18500.0,1.0,1.0,70.0,1,0,0,0,0,0,0
1541,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",120000.0,3.0,3.0,320.0,3,0,0,0,0,0,0
1542,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",43000.0,2.0,2.0,99.0,1,0,0,0,0,0,0
1543,"Roma Sur, Cuauhtémoc, Ciudad de México",14500.0,1.0,1.0,40.0,0,1,0,0,0,0,0
1544,"Narvarte, Benito Juárez, Ciudad de México",29000.0,2.0,2.0,85.0,1,0,0,0,0,0,0
1545,"Rancho del Carmen del Pueblo San Bartolo Ameyalco, Álvaro Obregón, Ciudad de México",7500.0,1.0,1.0,30.0,1,0,0,0,0,0,0
1546,"Narvarte, Benito Juárez, Ciudad de México",32500.0,2.0,2.0,85.0,1,0,0,0,0,0,0
1547,"Bosques de Tarango, Álvaro Obregón, Ciudad de México",50000.0,2.0,3.0,164.0,3,0,0,0,0,0,0
1548,"Narvarte, Benito Juárez, Ciudad de México",28000.0,2.0,2.0,85.0,1,0,0,0,0,0,0
1549,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",9000.0,3.0,3.0,520.0,2,0,0,0,0,0,0
1550,"Tabacalera, Cuauhtémoc, Ciudad de México",20000.0,,,,0,0,0,0,0,0,0
1551,"Narvarte, Benito Juárez, Ciudad de México",16500.0,1.0,1.0,45.0,0,0,0,1,0,0,0
1552,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",65000.0,3.0,3.0,370.0,4,0,0,0,0,0,0
1553,"Roma Sur, Cuauhtémoc, Ciudad de México",25000.0,2.0,2.0,100.0,1,0,0,0,0,0,0
1554,"Contadero, Cuajimalpa de Morelos, Ciudad de México",56000.0,3.0,3.0,158.0,2,0,0,0,0,0,0
1555,"Contadero, Cuajimalpa de Morelos, Ciudad de México",68000.0,3.0,3.0,170.0,3,0,0,0,0,0,0
1556,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",40000.0,2.0,2.0,125.0,2,0,0,0,0,0,0
1557,"Narvarte, Benito Juárez, Ciudad de México",9800.0,1.0,1.0,25.0,0,0,0,0,0,0,0
1558,"Contadero, Cuajimalpa de Morelos, Ciudad de México",64000.0,3.0,3.0,170.0,3,0,0,0,0,0,0
1559,"Bosque de las Lomas, Miguel Hidalgo, Ciudad de México",140000.0,3.0,3.0,445.0,6,0,0,0,0,0,0
1560,"San Mateo Tlaltenango, Cuajimalpa de Morelos, Ciudad de México",175000.0,3.0,3.0,444.0,4,0,0,0,0,0,0
1561,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",55000.0,3.0,3.0,173.0,2,0,0,0,0,0,0
1562,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",45000.0,2.0,2.0,122.0,2,0,0,0,0,0,0
1563,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",25000.0,2.0,2.0,95.0,0,0,0,1,0,0,0
1564,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",90000.0,3.0,3.0,277.0,3,0,0,0,0,0,0
1565,"Roma Norte, Cuauhtémoc, Ciudad de México",28200.0,1.0,1.0,43.0,1,0,0,0,0,0,0
1566,"Roma Norte, Cuauhtémoc, Ciudad de México",48500.0,2.0,2.0,75.0,1,0,0,0,0,0,0
1567,"Roma Norte, Cuauhtémoc, Ciudad de México",23000.0,1.0,1.0,42.0,1,0,0,0,0,0,0
1568,"Roma Norte, Cuauhtémoc, Ciudad de México",24500.0,1.0,1.0,42.0,1,0,0,0,0,0,0
1569,"Roma Norte, Cuauhtémoc, Ciudad de México",4900000.0,,,,0,0,0,0,0,0,0
1570,"Roma Norte, Cuauhtémoc, Ciudad de México",32400.0,1.0,1.0,43.0,1,0,0,0,0,0,0
1571,"Portales, Benito Juárez, Ciudad de México",21500.0,2.0,2.0,63.0,1,0,0,0,0,0,0
1572,"Roma Norte, Cuauhtémoc, Ciudad de México",24200.0,1.0,1.0,42.0,1,0,0,0,0,0,0
1573,"Roma Norte, Cuauhtémoc, Ciudad de México",23700.0,1.0,1.0,42.0,1,0,0,0,0,0,0
1574,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",25000.0,1.0,1.0,80.0,1,0,0,0,0,0,0
1575,"Roma Norte, Cuauhtémoc, Ciudad de México",44600.0,1.0,2.0,82.0,1,0,0,0,0,0,0
1576,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",49000.0,,3.0,,0,0,0,0,0,0,0
1577,"Xoco, Benito Juárez, Ciudad de México",60000.0,3.0,3.0,180.0,2,0,0,0,0,0,0
1578,"Roma Norte, Cuauhtémoc, Ciudad de México",18000.0,1.0,1.0,30.0,1,0,0,0,0,0,0
1579,"Xoco, Benito Juárez, Ciudad de México",62000.0,3.0,3.0,180.0,2,0,0,0,0,0,0
1580,"Roma Norte, Cuauhtémoc, Ciudad de México",17000.0,1.0,1.0,35.0,1,0,0,0,0,0,0
1581,"Bosques de Tarango, Álvaro Obregón, Ciudad de México",19000.0,1.0,1.0,58.0,0,1,0,0,0,0,0
1582,"Roma Norte, Cuauhtémoc, Ciudad de México",34600.0,2.0,2.0,72.0,0,0,1,0,0,0,0
1583,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",18000.0,1.0,1.0,54.0,0,1,0,0,0,0,0
1584,"El Yaqui, Cuajimalpa de Morelos, Ciudad de México",29500.0,2.0,2.0,110.0,2,0,0,0,0,0,0
1585,"Roma Sur, Cuauhtémoc, Ciudad de México",21000.0,1.0,1.0,37.0,0,1,0,0,0,0,0
1586,"Granada, Miguel Hidalgo, Ciudad de México",27200.0,1.0,1.0,48.0,1,0,0,0,0,0,0
1587,"Polanco, Miguel Hidalgo, Ciudad de México",25000.0,1.0,1.0,60.0,0,0,1,0,0,0,0
1588,"Roma Norte, Cuauhtémoc, Ciudad de México",22700.0,,,,0,0,0,0,0,0,0
1589,"Polanco, Miguel Hidalgo, Ciudad de México",110000.0,4.0,3.0,290.0,0,1,0,0,0,0,0
1590,"Anzures, Miguel Hidalgo, Ciudad de México",16000.0,1.0,1.0,60.0,1,0,0,0,0,0,0
1591,"Napoles, Benito Juárez, Ciudad de México",22620.0,,,,0,0,0,0,0,0,0
1592,"Escandón II Sección, Miguel Hidalgo, Ciudad de México",17000.0,1.0,1.0,51.0,2,0,0,0,0,0,0
1593,"Anzures, Miguel Hidalgo, Ciudad de México",16000.0,1.0,1.0,60.0,1,0,0,0,0,0,0
1594,"Granada, Miguel Hidalgo, Ciudad de México",27200.0,1.0,1.0,48.0,1,0,0,0,0,0,0
1595,"Contadero, Cuajimalpa de Morelos, Ciudad de México",22000.0,1.0,1.0,60.0,2,0,0,0,0,0,0
1596,"Lomas de Chapultepec, Miguel Hidalgo, Ciudad de México",180000.0,2.0,2.0,618.0,0,0,0,0,0,0,0
1597,"Polanco, Miguel Hidalgo, Ciudad de México",45000.0,2.0,2.0,150.0,0,1,0,0,0,0,0
1598,"Santo Tomas, Azcapotzalco, Ciudad de México",16000.0,2.0,2.0,58.0,1,0,0,0,0,0,0
1599,"Condesa, Cuauhtémoc, Ciudad de México",55000.0,2.0,2.0,114.0,0,1,0,0,0,0,0
1600,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",100000.0,3.0,3.0,,0,0,0,0,0,0,0
1601,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",8000.0,3.0,3.0,600.0,0,1,0,0,0,0,0
1602,"Ampliación el Yaqui, Cuajimalpa de Morelos, Ciudad de México",1700.0,1.0,1.0,74.0,0,1,0,0,0,0,0
1603,"Polanco, Miguel Hidalgo, Ciudad de México",120000.0,5.0,4.0,480.0,3,0,0,0,0,0,0
1604,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México",35000.0,2.0,2.0,103.0,0,0,0,0,0,0,0
1605,"Santa Fe, Álvaro Obregón, Ciudad de México",25000.0,2.0,2.0,97.0,2,0,0,0,0,0,0
1606,"Del Valle, Benito Juárez, Ciudad de México",22000.0,1.0,2.0,60.0,1,0,0,0,0,0,0
1607,"El Tanque, La Magdalena Contreras, Ciudad de México",7500.0,1.0,1.0,60.0,1,0,0,0,0,0,0
1608,"Polanco, Miguel Hidalgo, Ciudad de México",90000.0,2.0,2.0,191.0,2,0,0,0,0,0,0
1609,"Guerrero, Cuauhtémoc, Ciudad de México",34000.0,3.0,3.0,170.0,1,0,0,0,0,0,0
1610,"Bosque de las Lomas, Miguel Hidalgo, Ciudad de México",120000.0,4.0,4.0,976.0,0,1,0,0,0,0,0
1611,"San Pablo Chimalpa, Cuajimalpa de Morelos, Ciudad de México",50000.0,3.0,3.0,305.0,0,1,0,0,0,0,0
1612,"San Miguel Chapultepec I Sección, Miguel Hidalgo, Ciudad de México",32000.0,2.0,2.0,100.0,0,0,0,1,0,0,0
1613,"Polanco, Miguel Hidalgo, Ciudad de México",5000.0,2.0,2.0,180.0,2,0,0,0,0,0,0
1614,"Bosques de Tarango, Álvaro Obregón, Ciudad de México",16500.0,2.0,2.0,95.0,0,0,0,0,0,0,0
1615,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",28000.0,2.0,2.0,90.0,0,0,0,0,0,0,1
1616,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",120000.0,4.0,4.0,663.0,6,0,0,0,0,0,0
1617,"Ahuatenco, Cuajimalpa de Morelos, Ciudad de México",14800.0,1.0,1.0,70.0,1,0,0,0,0,0,0
1618,"Polanco, Miguel Hidalgo, Ciudad de México",45000.0,2.0,3.0,152.0,1,0,0,0,0,0,0
1619,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",70000.0,3.0,3.0,480.0,4,0,0,0,0,0,0
1620,"Polanco, Miguel Hidalgo, Ciudad de México",69000.0,2.0,2.0,170.0,0,1,0,0,0,0,0
1621,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",28000.0,2.0,2.0,90.0,0,0,0,0,0,0,1
1622,"Polanco, Miguel Hidalgo, Ciudad de México",65000.0,2.0,3.0,310.0,0,1,0,0,0,0,0
1623,"Del Valle, Benito Juárez, Ciudad de México",19200.0,1.0,1.0,32.0,0,0,0,0,0,0,1
1624,"Bosque de las Lomas, Miguel Hidalgo, Ciudad de México",2800.0,2.0,2.0,359.0,0,0,0,0,0,0,0
1625,"Nextengo, Azcapotzalco, Ciudad de México",14750.0,1.0,2.0,65.0,1,0,0,0,0,0,0
1626,"Narvarte, Benito Juárez, Ciudad de México",27000.0,2.0,2.0,114.0,2,0,0,0,0,0,0
1627,"Polanco, Miguel Hidalgo, Ciudad de México",120000.0,5.0,4.0,480.0,3,0,0,0,0,0,0
1628,"Guerrero, Cuauhtémoc, Ciudad de México",34000.0,3.0,3.0,170.0,1,0,0,0,0,0,0
1629,"Ahuatenco, Cuajimalpa de Morelos, Ciudad de México",14800.0,1.0,1.0,70.0,1,0,0,0,0,0,0
1630,"Acacias, Benito Juárez, Ciudad de México",26500.0,3.0,2.0,140.0,2,0,0,0,0,0,0
1631,"Polanco, Miguel Hidalgo, Ciudad de México",95000.0,3.0,3.0,213.0,3,0,0,0,0,0,0
1632,"Roma Norte, Cuauhtémoc, Ciudad de México",29500.0,1.0,1.0,55.0,0,0,0,0,0,0,1
1633,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",120000.0,4.0,4.0,663.0,6,0,0,0,0,0,0
1634,"Residencial Zacatenco, Gustavo A. Madero, Ciudad de México",21000.0,2.0,2.0,90.0,2,0,0,0,0,0,0
1635,"Acacias, Benito Juárez, Ciudad de México",55000.0,3.0,5.0,432.0,4,0,0,0,0,0,0
1636,"Polanco, Miguel Hidalgo, Ciudad de México",5000.0,2.0,2.0,180.0,2,0,0,0,0,0,0
1637,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",28000.0,2.0,2.0,77.0,1,0,0,0,0,0,0
1638,"Guerrero, Cuauhtémoc, Ciudad de México",38000.0,4.0,4.0,170.0,0,0,0,0,0,0,0
1639,"Roma Norte, Cuauhtémoc, Ciudad de México",38000.0,1.0,1.0,58.0,1,0,0,0,0,0,0
1640,"Condesa, Cuauhtémoc, Ciudad de México",30000.0,1.0,2.0,110.0,0,0,0,0,0,0,0
1641,"Granada, Miguel Hidalgo, Ciudad de México",80000.0,2.0,3.0,235.0,0,1,0,0,0,0,0
1642,"El Yaqui, Cuajimalpa de Morelos, Ciudad de México",70000.0,3.0,3.0,285.0,3,0,0,0,0,0,0
1643,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",28000.0,2.0,2.0,90.0,2,0,0,0,0,0,0
1644,"San Miguel Chapultepec I Sección, Miguel Hidalgo, Ciudad de México",32000.0,2.0,2.0,100.0,0,0,0,1,0,0,0
1645,"Condesa, Cuauhtémoc, Ciudad de México",30300.0,1.0,1.0,51.0,0,0,0,0,0,0,0
1646,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",70000.0,3.0,3.0,480.0,4,0,0,0,0,0,0
1647,"Roma Norte, Cuauhtémoc, Ciudad de México",38000.0,1.0,1.0,58.0,1,0,0,0,0,0,0
1648,"Nueva Santa Anita, Iztacalco, Ciudad de México",30000.0,1.0,1.0,47.0,0,1,0,0,0,0,0
1649,"Condesa, Cuauhtémoc, Ciudad de México",70000.0,2.0,2.0,240.0,2,0,0,0,0,0,0
1650,"Roma Norte, Cuauhtémoc, Ciudad de México",30000.0,1.0,2.0,98.0,1,0,0,0,0,0,0
1651,"Roma Norte, Cuauhtémoc, Ciudad de México",38000.0,1.0,1.0,58.0,1,0,0,0,0,0,0
1652,"Narvarte, Benito Juárez, Ciudad de México",27000.0,2.0,2.0,114.0,2,0,0,0,0,0,0
1653,"Área 1, Cuauhtémoc, Ciudad de México",30000.0,1.0,1.0,100.0,0,0,0,0,0,0,0
1654,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",28000.0,1.0,1.0,87.0,1,0,0,0,0,0,0
1655,"Residencial Zacatenco, Gustavo A. Madero, Ciudad de México",21000.0,2.0,2.0,90.0,2,0,0,0,0,0,0
1656,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",33000.0,2.0,1.0,90.0,1,0,0,0,0,0,0
1657,"Olivar de los Padres, Álvaro Obregón, Ciudad de México",29000.0,2.0,2.0,160.0,2,0,0,0,0,0,0
1658,"Atlamaya, Álvaro Obregón, Ciudad de México",49500.0,3.0,3.0,150.0,2,0,0,0,0,0,0
1659,"Anahuac I Sección, Miguel Hidalgo, Ciudad de México",135000.0,3.0,3.0,135.0,2,0,0,0,0,0,0
1660,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",32000.0,2.0,2.0,106.0,2,0,0,0,0,0,0
1661,"Lomas de Sotelo, Naucalpan de Juárez, Estado de México",14900.0,,,,0,0,0,0,0,0,0
1662,"Ampliación Granada, Miguel Hidalgo, Ciudad de México",55000.0,2.0,2.0,105.0,2,0,0,0,0,0,0
1663,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",19000.0,1.0,1.0,70.0,0,1,0,0,0,0,0
1664,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",35000.0,1.0,2.0,120.0,0,1,0,0,0,0,0
1665,"Granjas México, Iztacalco, Ciudad de México",13000.0,1.0,2.0,73.0,1,0,0,0,0,0,0
1666,"Del Valle, Benito Juárez, Ciudad de México",35000.0,2.0,2.0,103.0,1,0,0,0,0,0,0
1667,"Napoles, Benito Juárez, Ciudad de México",20000.0,1.0,1.0,45.0,0,0,0,1,0,0,0
1668,"Pedregal de Carrasco, Coyoacán, Ciudad de México",20000.0,1.0,1.0,70.0,1,0,0,0,0,0,0
1669,"Del Carmen, Coyoacán, Ciudad de México",35000.0,2.0,3.0,170.0,2,0,0,0,0,0,0
1670,"Roma Sur, Cuauhtémoc, Ciudad de México",16000.0,1.0,1.0,50.0,0,0,0,0,0,0,0
1671,"Cuauhtémoc, Cuauhtémoc, Ciudad de México",29000.0,1.0,2.0,109.0,0,1,0,0,0,0,0
